 U-235(n,total fission) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 30924.5
1.03125E-05 30452.3
1.06250E-05 30001.1
1.09375E-05 29569.3
1.12500E-05 29155.7
1.15625E-05 28759.0
1.18750E-05 28378.0
1.21875E-05 28011.8
1.25000E-05 27659.4
1.28125E-05 27320.0
1.31250E-05 26992.8
1.34375E-05 26677.1
1.37500E-05 26372.1
1.43750E-05 25792.4
1.50000E-05 25249.3
1.56250E-05 24739.1
1.62500E-05 24258.6
1.68750E-05 23805.1
1.75000E-05 23376.1
1.81250E-05 22969.5
1.87500E-05 22583.4
1.93750E-05 22216.1
2.00000E-05 21866.2
2.05825E-05 21554.5
2.11651E-05 21255.7
2.17476E-05 20969.1
2.23302E-05 20693.7
2.29127E-05 20428.9
2.34952E-05 20174.0
2.40778E-05 19928.4
2.46603E-05 19691.6
2.58254E-05 19242.2
2.69905E-05 18822.3
2.81556E-05 18428.6
2.93206E-05 18058.7
3.01934E-05 17795.7
3.10662E-05 17543.9
3.19390E-05 17302.5
3.28117E-05 17070.8
3.36845E-05 16848.1
3.45573E-05 16634.0
3.54301E-05 16427.8
3.63028E-05 16229.1
3.71756E-05 16037.4
3.80484E-05 15852.3
3.97939E-05 15500.6
4.15395E-05 15171.4
4.32850E-05 14862.2
4.49638E-05 14582.1
4.66425E-05 14317.2
4.83213E-05 14066.2
5.00000E-05 13828.0
5.15625E-05 13616.8
5.31250E-05 13415.0
5.46875E-05 13221.9
5.62500E-05 13036.9
5.78125E-05 12859.4
5.93750E-05 12689.0
6.09375E-05 12525.2
6.25000E-05 12367.6
6.40625E-05 12215.8
6.56250E-05 12069.4
6.71875E-05 11928.2
6.87500E-05 11791.8
7.18750E-05 11532.5
7.50000E-05 11289.5
7.81250E-05 11061.3
8.12500E-05 10846.4
8.43750E-05 10643.5
8.75000E-05 10451.6
9.06250E-05 10269.7
9.37500E-05 10097.0
9.68750E-05 9932.72
0.000100000 9776.18
0.000103125 9626.82
0.000106250 9484.09
0.000109375 9347.52
0.000112500 9216.68
0.000115625 9091.19
0.000118750 8970.67
0.000121875 8854.82
0.000125000 8743.34
0.000128125 8635.97
0.000131250 8532.45
0.000134375 8432.56
0.000137500 8336.10
0.000143750 8152.69
0.000150000 7980.87
0.000156250 7819.46
0.000162500 7667.45
0.000168750 7523.96
0.000175000 7388.23
0.000181250 7259.57
0.000187500 7137.40
0.000193750 7021.19
0.000200000 6910.47
0.000209375 6753.77
0.000218750 6607.25
0.000228125 6469.86
0.000237500 6340.68
0.000246875 6218.93
0.000256250 6103.91
0.000265625 5995.04
0.000275000 5891.78
0.000284375 5793.67
0.000293750 5700.29
0.000303125 5611.27
0.000312500 5526.28
0.000321875 5445.04
0.000331250 5367.27
0.000340625 5292.72
0.000350000 5221.19
0.000359375 5152.48
0.000368750 5086.40
0.000378125 5022.79
0.000387500 4961.51
0.000396875 4902.40
0.000406250 4845.36
0.000425000 4736.97
0.000443750 4635.53
0.000462500 4540.31
0.000481250 4450.71
0.000500000 4366.19
0.000515625 4299.30
0.000531250 4235.39
0.000546875 4174.23
0.000562500 4115.63
0.000578125 4059.43
0.000593750 4005.45
0.000609375 3953.56
0.000625000 3903.63
0.000640625 3855.53
0.000656250 3809.16
0.000671875 3764.42
0.000687500 3721.21
0.000718750 3639.04
0.000750000 3562.06
0.000781250 3489.74
0.000812500 3421.62
0.000843750 3357.32
0.000875000 3296.50
0.000906250 3238.84
0.000937500 3184.08
0.000968750 3131.99
0.00100000 3082.36
0.00103125 3034.99
0.00106250 2989.73
0.00109375 2946.42
0.00112500 2904.92
0.00115625 2865.12
0.00118750 2826.89
0.00121875 2790.14
0.00125000 2754.77
0.00128125 2720.70
0.00131250 2687.86
0.00134375 2656.16
0.00137500 2625.55
0.00143750 2567.34
0.00150000 2512.80
0.00156250 2461.56
0.00162500 2413.30
0.00168750 2367.74
0.00175000 2324.63
0.00181250 2283.77
0.00187500 2244.96
0.00193750 2208.04
0.00200000 2172.86
0.00209375 2123.06
0.00218750 2076.49
0.00228125 2032.82
0.00237500 1991.74
0.00246875 1953.03
0.00256250 1916.45
