 U-235(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 5720.79
1.03125E-05 5633.44
1.06250E-05 5549.97
1.09375E-05 5470.11
1.12500E-05 5393.60
1.15625E-05 5320.21
1.18750E-05 5249.73
1.21875E-05 5181.99
1.25000E-05 5116.80
1.28125E-05 5054.01
1.31250E-05 4993.48
1.34375E-05 4935.07
1.37500E-05 4878.66
1.43750E-05 4771.42
1.50000E-05 4670.95
1.56250E-05 4576.57
1.62500E-05 4487.69
1.68750E-05 4403.79
1.75000E-05 4324.43
1.81250E-05 4249.21
1.87500E-05 4177.78
1.93750E-05 4109.84
2.00000E-05 4045.11
2.05825E-05 3987.45
2.11651E-05 3932.18
2.17476E-05 3879.16
2.23302E-05 3828.22
2.29127E-05 3779.23
2.34952E-05 3732.08
2.40778E-05 3686.65
2.46603E-05 3642.84
2.58254E-05 3559.71
2.69905E-05 3482.03
2.81556E-05 3409.21
2.93206E-05 3340.78
3.01934E-05 3292.14
3.10662E-05 3245.55
3.19390E-05 3200.90
3.28117E-05 3158.03
3.36845E-05 3116.84
3.45573E-05 3077.22
3.54301E-05 3039.08
3.63028E-05 3002.32
3.71756E-05 2966.86
3.80484E-05 2932.63
3.97939E-05 2867.58
4.15395E-05 2806.67
4.32850E-05 2749.48
4.49638E-05 2697.65
4.66425E-05 2648.65
4.83213E-05 2602.22
5.00000E-05 2558.15
5.15625E-05 2519.09
5.31250E-05 2481.75
5.46875E-05 2446.03
5.62500E-05 2411.81
5.78125E-05 2378.99
5.93750E-05 2347.47
6.09375E-05 2317.17
6.25000E-05 2288.01
6.40625E-05 2259.93
6.56250E-05 2232.85
6.71875E-05 2206.73
6.87500E-05 2181.50
7.18750E-05 2133.53
7.50000E-05 2088.59
7.81250E-05 2046.38
8.12500E-05 2006.62
8.43750E-05 1969.09
8.75000E-05 1933.60
9.06250E-05 1899.95
9.37500E-05 1868.00
9.68750E-05 1837.61
0.000100000 1808.66
0.000103125 1781.03
0.000106250 1754.63
0.000109375 1729.36
0.000112500 1705.16
0.000115625 1681.95
0.000118750 1659.66
0.000121875 1638.23
0.000125000 1617.61
0.000128125 1597.74
0.000131250 1578.60
0.000134375 1560.12
0.000137500 1542.28
0.000143750 1508.35
0.000150000 1476.57
0.000156250 1446.71
0.000162500 1418.59
0.000168750 1392.05
0.000175000 1366.95
0.000181250 1343.15
0.000187500 1320.55
0.000193750 1299.06
0.000200000 1278.58
0.000209375 1249.59
0.000218750 1222.49
0.000228125 1197.08
0.000237500 1173.19
0.000246875 1150.67
0.000256250 1129.39
0.000265625 1109.25
0.000275000 1090.16
0.000284375 1072.01
0.000293750 1054.74
0.000303125 1038.27
0.000312500 1022.55
0.000321875 1007.53
0.000331250 993.140
0.000340625 979.353
0.000350000 966.122
0.000359375 953.413
0.000368750 941.191
0.000378125 929.426
0.000387500 918.091
0.000396875 907.159
0.000406250 896.608
0.000425000 876.561
0.000443750 857.797
0.000462500 840.186
0.000481250 823.613
0.000500000 807.980
0.000515625 795.609
0.000531250 783.787
0.000546875 772.474
0.000562500 761.636
0.000578125 751.240
0.000593750 741.256
0.000609375 731.658
0.000625000 722.422
0.000640625 713.526
0.000656250 704.948
0.000671875 696.672
0.000687500 688.678
0.000718750 673.479
0.000750000 659.239
0.000781250 645.860
0.000812500 633.259
0.000843750 621.363
0.000875000 610.110
0.000906250 599.442
0.000937500 589.311
0.000968750 579.673
0.00100000 570.489
0.00103125 561.725
0.00106250 553.349
0.00109375 545.334
0.00112500 537.654
0.00115625 530.287
0.00118750 523.211
0.00121875 516.408
0.00125000 509.862
0.00128125 503.555
0.00131250 497.474
0.00134375 491.606
0.00137500 485.938
0.00143750 475.159
0.00150000 465.059
0.00156250 455.567
0.00162500 446.626
0.00168750 438.184
0.00175000 430.195
0.00181250 422.621
0.00187500 415.426
0.00193750 408.580
0.00200000 402.055
0.00209375 392.817
0.00218750 384.175
0.00228125 376.067
0.00237500 368.439
0.00246875 361.246
0.00256250 354.448
0.00265625 348.009
0.00275000 341.898
0.00284375 336.089
0.00293750 330.557
0.00303125 325.280
0.00312500 320.240
0.00321875 315.418
0.00331250 310.799
0.00340625 306.370
0.00350000 302.117
0.00359375 298.029
0.00368750 294.095
0.00378125 290.306
0.00387500 286.653
0.00396875 283.127
0.00406250 279.722
0.00425000 273.246
0.00443750 267.175
0.00462500 261.470
0.00481250 256.093
0.00500000 251.014
0.00515625 246.989
0.00531250 243.138
0.00546875 239.449
0.00562500 235.909
